Price,Close,High,Low,Open,Volume
Ticker,BBNI.JK,BBNI.JK,BBNI.JK,BBNI.JK,BBNI.JK
Date,,,,,
2021-12-01,2523.26513671875,2618.124728324718,2504.2932183975563,2580.180891682331,102525600
2021-12-02,2589.666748046875,2608.638665614984,2485.3212014222754,2523.265036558493,80505200
2021-12-03,2551.72314453125,2608.6389024018354,2551.72314453125,2599.152942756738,25241800
2021-12-06,2599.15283203125,2627.61070975422,2551.7230358263,2551.7230358263,53587600
2021-12-07,2675.04052734375,2675.04052734375,2599.1528528091753,2618.124771442819,52704600
2021-12-08,2599.15283203125,2684.5264652001597,2599.15283203125,2675.04050595917,69263600
2021-12-09,2589.666748046875,2618.124624399038,2580.1807892628203,2618.124624399038,22996000
2021-12-10,2570.69482421875,2599.1527005016146,2561.2088654577956,2580.180782979705,44792200
2021-12-13,2599.15283203125,2637.0966689952097,2580.18091354927,2599.15283203125,44218400
2021-12-14,2608.638671875,2618.124630681818,2570.6948366477272,2599.1527130681816,28209200
2021-12-15,2608.638671875,2646.5825071022728,2589.6667542613636,2599.1527130681816,39056400
2021-12-16,2561.208740234375,2637.09640661169,2561.208740234375,2627.6104483145255,44312200
2021-12-17,2561.208740234375,2599.152573423032,2551.7227819372106,2561.208740234375,46617600
2021-12-20,2551.72314453125,2570.695063821445,2523.2652655959573,2561.2091041763474,42364800
2021-12-21,2542.236572265625,2580.1804017024256,2532.750614906425,2551.7225296248253,27763600
2021-12-22,2513.77880859375,2570.69455520342,2504.2928508254718,2561.2085974351417,36773200
2021-12-23,2523.26513671875,2532.751095879347,2513.779177558153,2513.779177558153,20865200
2021-12-24,2551.72314453125,2551.72314453125,2494.807386660664,2523.2652655959573,27466400
2021-12-27,2561.208740234375,2561.208740234375,2532.7508653428818,2551.7227819372106,21300600
2021-12-28,2542.236572265625,2570.6944443432253,2542.236572265625,2561.2084869840255,29432600
2021-12-29,2551.72314453125,2561.2091041763474,2532.7512252410547,2542.237184886152,16851800
2021-12-30,2561.208740234375,2570.6946985315394,2532.7508653428818,2551.7227819372106,23619400
2022-01-03,2551.72314453125,2580.1810234665427,2542.237184886152,2561.2091041763474,23056600
2022-01-04,2665.554443359375,2675.04040223254,2570.694854627725,2580.1808135008896,103142000
2022-01-05,2637.096435546875,2675.040269151866,2599.152601941884,2665.5543107506182,71824800
2022-01-06,2637.096435546875,2656.0683523493703,2589.666643540636,2637.096435546875,44384800
2022-01-07,2684.526123046875,2694.0120810788426,2627.6103748550686,2656.068248950972,67311600
2022-01-10,2675.04052734375,2722.470323927859,2665.5545680269283,2684.5264866605717,63924600
2022-01-11,2665.554443359375,2703.498278852035,2646.582525613045,2675.04040223254,38404400
2022-01-12,2675.04052734375,2694.012445977394,2646.5826493932846,2675.04052734375,28322200
2022-01-13,2665.554443359375,2684.5263611057053,2656.06848448621,2675.04040223254,25598400
2022-01-14,2694.012451171875,2712.9843698420996,2646.582654496314,2665.5545731665384,39342200
2022-01-17,2731.9560546875,2731.9560546875,2675.0403035481772,2703.4981791178384,92592800
2022-01-18,2684.526123046875,2750.9278292706495,2627.6103748550686,2731.955913206714,70206600
2022-01-19,2694.012451171875,2694.012451171875,2637.0966951612018,2665.5545731665384,44159000
2022-01-20,2712.98388671875,2712.98388671875,2646.582183197662,2694.0119714270104,33241200
2022-01-21,2722.469970703125,2722.469970703125,2675.040180272757,2703.4980545309777,21681400
2022-01-24,2694.012451171875,2703.498410506987,2665.5545731665384,2703.498410506987,40845000
2022-01-25,2580.1806640625,2694.0121639476106,2570.694705738741,2694.0121639476106,144670400
2022-01-26,2703.498046875,2703.498046875,2599.1525082236844,2608.638466282895,107417000
2022-01-27,2731.9560546875,2769.899888780382,2675.0403035481772,2694.012220594618,97516000
2022-01-28,2845.78759765625,2845.78759765625,2731.95609375,2731.95609375,127578000
2022-01-31,2779.385986328125,2855.2736583097803,2779.385986328125,2845.7876993120735,60466600
2022-02-02,2798.357666015625,2807.843624205508,2769.8997914459746,2779.385749635858,38728000
2022-02-03,2769.89990234375,2788.8718194830903,2741.442026634739,2779.3858609134204,32303800
2022-02-04,2779.385986328125,2788.871945325832,2741.4421503372973,2760.4140683327114,21974000
2022-02-07,2798.357666015625,2817.3295823953918,2779.385749635858,2779.385749635858,57166000
2022-02-08,2845.78759765625,2883.731432291667,2807.843763020833,2817.3297216796877,131125400
2022-02-09,2874.245361328125,2893.217277904548,2817.329611598855,2855.273444751702,110157800
2022-02-10,2912.189453125,2940.647330517101,2874.245616602199,2902.7034939943,142626800
2022-02-11,2921.67529296875,2950.133169198965,2874.2454992517246,2902.70337548194,70289600
2022-02-14,2921.67529296875,2921.67529296875,2883.73145799513,2912.1893342253447,72269600
2022-02-15,3007.048828125,3016.534786573344,2931.161160538249,2940.647118986593,136495000
2022-02-16,3016.534912109375,3026.0208709524863,2997.5629944231523,3016.534912109375,93191200
2022-02-17,2997.562744140625,3016.5346602427812,2950.1329538852356,3016.5346602427812,41691800
2022-02-18,3026.020751953125,3026.020751953125,2969.10500113269,2997.5628765429074,39658800
2022-02-21,2997.562744140625,3035.506576344937,2978.590828038469,2997.562744140625,49586600
